"dep";"sexe";"jour";"hosp";"rea";"rad";"dc"
"16";"0";2020-04-16;33;4;33;9
"16";"1";2020-04-16;19;3;19;6
"16";"2";2020-04-16;14;0;14;3
"17";"0";2020-04-16;67;19;67;27
"17";"1";2020-04-16;36;18;36;16
"17";"2";2020-04-16;31;1;31;11
"18";"0";2020-04-16;42;7;42;37
"18";"1";2020-04-16;24;7;24;20
"18";"2";2020-04-16;18;0;18;17
"19";"0";2020-04-16;44;12;44;18
"19";"1";2020-04-16;23;9;23;16
"19";"2";2020-04-16;21;2;21;2
"21";"0";2020-04-16;442;81;442;149
"21";"1";2020-04-16;196;49;196;90
"21";"2";2020-04-16;243;32;243;59
"22";"0";2020-04-16;80;8;80;22
"22";"1";2020-04-16;38;6;38;13
"22";"2";2020-04-16;42;2;42;9
"23";"0";2020-04-16;14;12;14;4
"23";"1";2020-04-16;9;7;9;2
"23";"2";2020-04-16;5;5;5;2
"24";"0";2020-04-16;36;5;36;4
"24";"1";2020-04-16;22;3;22;1
"24";"2";2020-04-16;14;2;14;3
"25";"0";2020-04-16;299;71;299;85
"25";"1";2020-04-16;156;52;156;52
"25";"2";2020-04-16;141;16;141;32
"26";"0";2020-04-16;258;55;258;92
"26";"1";2020-04-16;138;39;138;55
"26";"2";2020-04-16;120;14;120;37
"27";"0";2020-04-16;63;6;63;47
"27";"1";2020-04-16;29;6;29;25
"27";"2";2020-04-16;33;0;33;22
"28";"0";2020-04-16;209;24;209;58
"28";"1";2020-04-16;103;18;103;31
"28";"2";2020-04-16;95;5;95;26
"29";"0";2020-04-16;97;32;97;24
"29";"1";2020-04-16;54;24;54;14
"29";"2";2020-04-16;42;8;42;9
"2A";"0";2020-04-16;60;13;60;36
"2A";"1";2020-04-16;27;11;27;24
"2A";"2";2020-04-16;33;2;33;12
"2B";"0";2020-04-16;74;2;74;5
"2B";"1";2020-04-16;36;1;36;3
"2B";"2";2020-04-16;38;1;38;2
"30";"0";2020-04-16;125;36;125;29
"30";"1";2020-04-16;72;26;72;17
"30";"2";2020-04-16;53;10;53;12
"31";"0";2020-04-16;321;95;321;31
"31";"1";2020-04-16;172;83;172;21
"31";"2";2020-04-16;149;12;149;10
"32";"0";2020-04-16;29;3;29;10
"32";"1";2020-04-16;19;3;19;6
"32";"2";2020-04-16;10;0;10;4
"33";"0";2020-04-16;446;91;446;74
"33";"1";2020-04-16;221;67;221;33
"33";"2";2020-04-16;224;24;224;41
"34";"0";2020-04-16;429;51;429;89
"34";"1";2020-04-16;197;37;197;51
"34";"2";2020-04-16;230;11;230;38
"35";"0";2020-04-16;178;32;178;49
"35";"1";2020-04-16;107;21;107;29
"35";"2";2020-04-16;70;11;70;20
"36";"0";2020-04-16;30;9;30;38
"36";"1";2020-04-16;12;4;12;25
"36";"2";2020-04-16;18;5;18;13
"37";"0";2020-04-16;139;46;139;42
"37";"1";2020-04-16;75;36;75;30
"37";"2";2020-04-16;64;9;64;12
"38";"0";2020-04-16;262;45;262;62
"38";"1";2020-04-16;123;30;123;37
"38";"2";2020-04-16;137;15;137;25
"39";"0";2020-04-16;82;17;82;34
"39";"1";2020-04-16;40;11;40;17
"39";"2";2020-04-16;42;5;42;17
"40";"0";2020-04-16;33;7;33;10
"40";"1";2020-04-16;19;5;19;6
"40";"2";2020-04-16;14;2;14;4
"41";"0";2020-04-16;73;12;73;28
"41";"1";2020-04-16;41;9;41;19
"41";"2";2020-04-16;32;3;32;9
"42";"0";2020-04-16;397;96;397;132
"42";"1";2020-04-16;210;76;210;93
"42";"2";2020-04-16;182;20;182;39
"43";"0";2020-04-16;56;3;56;6
"43";"1";2020-04-16;23;3;23;4
"43";"2";2020-04-16;33;0;33;2
"44";"0";2020-04-16;273;53;273;86
"44";"1";2020-04-16;150;41;150;47
"44";"2";2020-04-16;122;12;122;38
"45";"0";2020-04-16;277;67;277;49
"45";"1";2020-04-16;142;51;142;32
"45";"2";2020-04-16;135;16;135;17
"46";"0";2020-04-16;56;8;56;6
"46";"1";2020-04-16;24;5;24;2
"46";"2";2020-04-16;32;3;32;4
"47";"0";2020-04-16;28;5;28;4
"47";"1";2020-04-16;15;5;15;4
"47";"2";2020-04-16;12;0;12;0
"48";"0";2020-04-16;12;1;12;0
"48";"1";2020-04-16;8;1;8;0
"48";"2";2020-04-16;4;0;4;0
"49";"0";2020-04-16;292;40;292;66
"49";"1";2020-04-16;139;29;139;39
"49";"2";2020-04-16;153;11;153;27
"50";"0";2020-04-16;65;20;65;29
"50";"1";2020-04-16;33;16;33;14
"50";"2";2020-04-16;30;3;30;15
"51";"0";2020-04-16;495;53;495;154
"51";"1";2020-04-16;229;40;229;92
"51";"2";2020-04-16;259;13;259;60
"52";"0";2020-04-16;100;19;100;46
"52";"1";2020-04-16;59;9;59;20
"52";"2";2020-04-16;41;10;41;26
"53";"0";2020-04-16;49;10;49;25
"53";"1";2020-04-16;25;7;25;12
"53";"2";2020-04-16;24;3;24;13
"54";"0";2020-04-16;520;131;520;202
"54";"1";2020-04-16;248;93;248;119
"54";"2";2020-04-16;252;33;252;81
"55";"0";2020-04-16;219;21;219;54
"55";"1";2020-04-16;114;18;114;32
"55";"2";2020-04-16;105;3;105;22
"56";"0";2020-04-16;221;30;221;71
"56";"1";2020-04-16;121;26;121;44
"56";"2";2020-04-16;100;4;100;27
"57";"0";2020-04-16;1010;154;1010;542
"57";"1";2020-04-16;524;103;524;310
"57";"2";2020-04-16;481;51;481;228
"58";"0";2020-04-16;22;11;22;12
"58";"1";2020-04-16;5;8;5;7
"58";"2";2020-04-16;17;3;17;5
"59";"0";2020-04-16;876;238;876;331
"59";"1";2020-04-16;461;177;461;174
"59";"2";2020-04-16;412;59;412;153
"60";"0";2020-04-16;516;67;516;252
"60";"1";2020-04-16;284;47;284;148
"60";"2";2020-04-16;227;19;227;103
"61";"0";2020-04-16;119;11;119;20
"61";"1";2020-04-16;42;10;42;13
"61";"2";2020-04-16;77;1;77;7
"62";"0";2020-04-16;458;93;458;128
"62";"1";2020-04-16;234;70;234;76
"62";"2";2020-04-16;219;23;219;52
"63";"0";2020-04-16;87;26;87;21
"63";"1";2020-04-16;46;16;46;12
"63";"2";2020-04-16;41;10;41;9
"64";"0";2020-04-16;112;21;112;18
"64";"1";2020-04-16;60;14;60;12
"64";"2";2020-04-16;52;7;52;6
"65";"0";2020-04-16;60;5;60;14
"65";"1";2020-04-16;35;4;35;5
"65";"2";2020-04-16;25;1;25;9
"66";"0";2020-04-16;225;17;225;23
"66";"1";2020-04-16;93;14;93;10
"66";"2";2020-04-16;132;3;132;13
"67";"0";2020-04-16;1188;224;1188;397
"67";"1";2020-04-16;658;160;658;231
"67";"2";2020-04-16;526;63;526;163
"68";"0";2020-04-16;1467;135;1467;627
"68";"1";2020-04-16;791;86;791;381
"68";"2";2020-04-16;675;49;675;241
"69";"0";2020-04-16;1237;246;1237;369
"69";"1";2020-04-16;610;189;610;203
"69";"2";2020-04-16;595;57;595;156
"70";"0";2020-04-16;127;16;127;57
"70";"1";2020-04-16;68;10;68;35
"70";"2";2020-04-16;58;6;58;22
"71";"0";2020-04-16;299;32;299;113
"71";"1";2020-04-16;138;26;138;58
"71";"2";2020-04-16;160;6;160;55
"72";"0";2020-04-16;167;17;167;34
"72";"1";2020-04-16;88;14;88;20
"72";"2";2020-04-16;79;3;79;14
"73";"0";2020-04-16;229;21;229;30
"73";"1";2020-04-16;112;18;112;20
"73";"2";2020-04-16;116;3;116;10
"74";"0";2020-04-16;458;61;458;99
"74";"1";2020-04-16;257;46;257;60
"74";"2";2020-04-16;194;14;194;39
"75";"0";2020-04-16;2640;727;2640;1090
"75";"1";2020-04-16;1575;538;1575;697
"75";"2";2020-04-16;1044;185;1044;384
"76";"0";2020-04-16;346;89;346;109
"76";"1";2020-04-16;165;62;165;73
"76";"2";2020-04-16;180;26;180;35
"77";"0";2020-04-16;1048;181;1048;306
"77";"1";2020-04-16;619;118;619;179
"77";"2";2020-04-16;418;61;418;127
"78";"0";2020-04-16;949;163;949;317
"78";"1";2020-04-16;538;121;538;191
"78";"2";2020-04-16;407;40;407;123
"79";"0";2020-04-16;29;7;29;12
"79";"1";2020-04-16;11;3;11;7
"79";"2";2020-04-16;18;4;18;5
"80";"0";2020-04-16;332;60;332;136
"80";"1";2020-04-16;173;44;173;85
"80";"2";2020-04-16;152;16;152;50
"81";"0";2020-04-16;56;16;56;15
"81";"1";2020-04-16;29;11;29;7
"81";"2";2020-04-16;27;5;27;8
"82";"0";2020-04-16;21;8;21;3
"82";"1";2020-04-16;13;6;13;3
"82";"2";2020-04-16;8;2;8;0
"83";"0";2020-04-16;423;45;423;72
"83";"1";2020-04-16;233;34;233;40
"83";"2";2020-04-16;189;11;189;32
"84";"0";2020-04-16;129;16;129;23
"84";"1";2020-04-16;62;13;62;14
"84";"2";2020-04-16;67;3;67;9
"85";"0";2020-04-16;95;16;95;24
"85";"1";2020-04-16;55;11;55;17
"85";"2";2020-04-16;40;5;40;7
"86";"0";2020-04-16;65;24;65;25
"86";"1";2020-04-16;31;16;31;12
"86";"2";2020-04-16;34;7;34;12
"87";"0";2020-04-16;66;13;66;15
"87";"1";2020-04-16;32;9;32;7
"87";"2";2020-04-16;33;4;33;8
"88";"0";2020-04-16;308;30;308;187
"88";"1";2020-04-16;163;19;163;110
"88";"2";2020-04-16;143;11;143;77
"89";"0";2020-04-16;106;19;106;33
"89";"1";2020-04-16;58;18;58;20
"89";"2";2020-04-16;47;1;47;13
"90";"0";2020-04-16;282;32;282;124
"90";"1";2020-04-16;166;27;166;72
"90";"2";2020-04-16;116;5;116;52
"91";"0";2020-04-16;747;200;747;273
"91";"1";2020-04-16;452;138;452;162
"91";"2";2020-04-16;292;57;292;109
"92";"0";2020-04-16;1856;406;1856;620
"92";"1";2020-04-16;1080;297;1080;363
"92";"2";2020-04-16;768;105;768;252
"93";"0";2020-04-16;1384;242;1384;609
"93";"1";2020-04-16;830;170;830;383
"93";"2";2020-04-16;542;67;542;222
"94";"0";2020-04-16;1407;327;1407;681
"94";"1";2020-04-16;791;234;791;390
"94";"2";2020-04-16;599;92;599;275
"95";"0";2020-04-16;1248;173;1248;423
"95";"1";2020-04-16;724;124;724;277
"95";"2";2020-04-16;520;48;520;144
"971";"0";2020-04-16;59;17;59;10
"971";"1";2020-04-16;27;13;27;4
"971";"2";2020-04-16;32;4;32;6
"972";"0";2020-04-16;55;17;55;6
"972";"1";2020-04-16;28;14;28;4
"972";"2";2020-04-16;27;3;27;2
"973";"0";2020-04-16;24;1;24;0
"973";"1";2020-04-16;12;0;12;0
"973";"2";2020-04-16;12;1;12;0
"974";"0";2020-04-16;83;4;83;0
"974";"1";2020-04-16;38;4;38;0
"974";"2";2020-04-16;45;0;45;0
"976";"0";2020-04-16;39;6;39;4
"976";"1";2020-04-16;23;5;23;4
"976";"2";2020-04-16;16;1;16;0
"01";"0";2020-04-17;177;24;177;55
"01";"1";2020-04-17;103;17;103;33
"01";"2";2020-04-17;69;6;69;21
"02";"0";2020-04-17;345;44;345;165
"02";"1";2020-04-17;156;29;156;96
"02";"2";2020-04-17;187;15;187;67
"03";"0";2020-04-17;87;19;87;19
"03";"1";2020-04-17;38;13;38;11
"03";"2";2020-04-17;48;6;48;8
"04";"0";2020-04-17;75;3;75;6
"04";"1";2020-04-17;32;1;32;5
"04";"2";2020-04-17;43;2;43;1
"05";"0";2020-04-17;81;11;81;5
"05";"1";2020-04-17;47;6;47;2
"05";"2";2020-04-17;34;5;34;3
"06";"0";2020-04-17;326;58;326;95
"06";"1";2020-04-17;157;39;157;52
"06";"2";2020-04-17;161;12;161;41
"07";"0";2020-04-17;217;23;217;48
"07";"1";2020-04-17;87;18;87;31
"07";"2";2020-04-17;107;2;107;12
"08";"0";2020-04-17;87;16;87;27
"08";"1";2020-04-17;46;11;46;13
"08";"2";2020-04-17;40;5;40;14
"09";"0";2020-04-17;19;2;19;2
"09";"1";2020-04-17;11;1;11;1
"09";"2";2020-04-17;7;1;7;1
"10";"0";2020-04-17;243;26;243;74
"10";"1";2020-04-17;134;19;134;48
"10";"2";2020-04-17;108;7;108;26
"11";"0";2020-04-17;117;8;117;41
"11";"1";2020-04-17;65;7;65;31
"11";"2";2020-04-17;52;1;52;10
"12";"0";2020-04-17;68;4;68;19
"12";"1";2020-04-17;36;3;36;10
"12";"2";2020-04-17;32;1;32;9
"13";"0";2020-04-17;1515;246;1515;238
"13";"1";2020-04-17;759;170;759;125
"13";"2";2020-04-17;724;73;724;110
"14";"0";2020-04-17;123;36;123;49
"14";"1";2020-04-17;74;27;74;36
"14";"2";2020-04-17;49;9;49;13
"15";"0";2020-04-17;19;7;19;0
"15";"1";2020-04-17;11;6;11;0
"15";"2";2020-04-17;8;1;8;0
"16";"0";2020-04-17;33;4;33;9
"16";"1";2020-04-17;19;3;19;6
"16";"2";2020-04-17;14;0;14;3
"17";"0";2020-04-17;68;17;68;28
"17";"1";2020-04-17;37;15;37;17
"17";"2";2020-04-17;31;2;31;11
"18";"0";2020-04-17;48;4;48;40
"18";"1";2020-04-17;26;4;26;22
"18";"2";2020-04-17;22;0;22;18
"19";"0";2020-04-17;45;12;45;18
"19";"1";2020-04-17;24;9;24;16
"19";"2";2020-04-17;21;2;21;2
"21";"0";2020-04-17;465;74;465;154
"21";"1";2020-04-17;206;45;206;94
"21";"2";2020-04-17;256;29;256;60
"22";"0";2020-04-17;82;8;82;23
"22";"1";2020-04-17;39;6;39;14
"22";"2";2020-04-17;43;2;43;9
"23";"0";2020-04-17;14;12;14;4
"23";"1";2020-04-17;9;7;9;2
"23";"2";2020-04-17;5;5;5;2
"24";"0";2020-04-17;39;6;39;5
"24";"1";2020-04-17;23;3;23;2
"24";"2";2020-04-17;16;3;16;3
"25";"0";2020-04-17;312;66;312;88
"25";"1";2020-04-17;162;49;162;54
"25";"2";2020-04-17;148;15;148;33
"26";"0";2020-04-17;272;54;272;97
"26";"1";2020-04-17;145;38;145;58
"26";"2";2020-04-17;127;14;127;39
"27";"0";2020-04-17;68;6;68;48
"27";"1";2020-04-17;32;6;32;26
"27";"2";2020-04-17;35;0;35;22
"28";"0";2020-04-17;222;26;222;62
"28";"1";2020-04-17;113;21;113;34
"28";"2";2020-04-17;98;4;98;27
"29";"0";2020-04-17;102;29;102;26
"29";"1";2020-04-17;58;21;58;16
"29";"2";2020-04-17;43;8;43;9
"2A";"0";2020-04-17;60;12;60;37
"2A";"1";2020-04-17;27;9;27;25
"2A";"2";2020-04-17;33;3;33;12
"2B";"0";2020-04-17;75;2;75;5
"2B";"1";2020-04-17;37;1;37;3
"2B";"2";2020-04-17;38;1;38;2
"30";"0";2020-04-17;127;38;127;32
"30";"1";2020-04-17;73;27;73;18
"30";"2";2020-04-17;54;11;54;14
"31";"0";2020-04-17;334;93;334;34
"31";"1";2020-04-17;178;81;178;22
"31";"2";2020-04-17;155;11;155;12
"32";"0";2020-04-17;23;3;23;10
"32";"1";2020-04-17;16;2;16;6
"32";"2";2020-04-17;7;1;7;4
"33";"0";2020-04-17;461;85;461;81
"33";"1";2020-04-17;230;61;230;38
"33";"2";2020-04-17;230;24;230;43
"34";"0";2020-04-17;443;45;443;89
"34";"1";2020-04-17;209;33;209;51
"34";"2";2020-04-17;232;11;232;38
"35";"0";2020-04-17;187;28;187;51
"35";"1";2020-04-17;107;18;107;30
"35";"2";2020-04-17;79;7;79;21
"36";"0";2020-04-17;38;9;38;39
"36";"1";2020-04-17;17;4;17;25
"36";"2";2020-04-17;21;5;21;14
"37";"0";2020-04-17;145;44;145;45
"37";"1";2020-04-17;77;34;77;31
"37";"2";2020-04-17;67;9;67;14
"38";"0";2020-04-17;270;43;270;63
"38";"1";2020-04-17;127;31;127;37
"38";"2";2020-04-17;141;12;141;26
"39";"0";2020-04-17;83;17;83;34
"39";"1";2020-04-17;41;11;41;17
"39";"2";2020-04-17;42;5;42;17
"40";"0";2020-04-17;33;6;33;10
"40";"1";2020-04-17;19;4;19;6
"40";"2";2020-04-17;14;2;14;4
"41";"0";2020-04-17;77;18;77;29
"41";"1";2020-04-17;42;13;42;20
"41";"2";2020-04-17;35;5;35;9
"42";"0";2020-04-17;421;90;421;134
"42";"1";2020-04-17;226;74;226;95
"42";"2";2020-04-17;190;16;190;39
"43";"0";2020-04-17;58;3;58;6
"43";"1";2020-04-17;23;3;23;4
"43";"2";2020-04-17;35;0;35;2
"44";"0";2020-04-17;280;51;280;88
"44";"1";2020-04-17;156;41;156;48
"44";"2";2020-04-17;123;10;123;39
"45";"0";2020-04-17;291;73;291;49
"45";"1";2020-04-17;150;55;150;32
"45";"2";2020-04-17;141;18;141;17
"46";"0";2020-04-17;64;7;64;7
"46";"1";2020-04-17;26;4;26;2
"46";"2";2020-04-17;38;3;38;5
"47";"0";2020-04-17;31;4;31;5
"47";"1";2020-04-17;16;4;16;5
"47";"2";2020-04-17;14;0;14;0
"48";"0";2020-04-17;12;1;12;0
"48";"1";2020-04-17;8;1;8;0
"48";"2";2020-04-17;4;0;4;0
"49";"0";2020-04-17;302;40;302;69
"49";"1";2020-04-17;144;29;144;40
"49";"2";2020-04-17;158;11;158;29
"50";"0";2020-04-17;67;15;67;29
"50";"1";2020-04-17;34;13;34;14
"50";"2";2020-04-17;31;2;31;15
"51";"0";2020-04-17;518;53;518;161
"51";"1";2020-04-17;239;41;239;97
"51";"2";2020-04-17;272;12;272;62
"52";"0";2020-04-17;103;19;103;46
"52";"1";2020-04-17;61;9;61;20
"52";"2";2020-04-17;42;10;42;26
"53";"0";2020-04-17;53;10;53;26
"53";"1";2020-04-17;27;7;27;13
"53";"2";2020-04-17;26;3;26;13
"54";"0";2020-04-17;535;127;535;207
"54";"1";2020-04-17;256;89;256;122
"54";"2";2020-04-17;259;33;259;83
"55";"0";2020-04-17;222;18;222;63
"55";"1";2020-04-17;116;16;116;36
"55";"2";2020-04-17;106;2;106;26
"56";"0";2020-04-17;225;28;225;71
"56";"1";2020-04-17;123;24;123;44
"56";"2";2020-04-17;102;4;102;27
"57";"0";2020-04-17;1060;155;1060;549
"57";"1";2020-04-17;545;106;545;313
"57";"2";2020-04-17;510;49;510;232
"58";"0";2020-04-17;26;10;26;12
"58";"1";2020-04-17;7;7;7;7
"58";"2";2020-04-17;19;3;19;5
"59";"0";2020-04-17;926;238;926;347
"59";"1";2020-04-17;484;173;484;183
"59";"2";2020-04-17;439;64;439;160
"60";"0";2020-04-17;537;66;537;258
"60";"1";2020-04-17;291;47;291;151
"60";"2";2020-04-17;241;18;241;106
"61";"0";2020-04-17;119;13;119;23
"61";"1";2020-04-17;44;11;44;16
"61";"2";2020-04-17;75;2;75;7
"62";"0";2020-04-17;496;88;496;145
"62";"1";2020-04-17;252;68;252;87
"62";"2";2020-04-17;239;20;239;58
"63";"0";2020-04-17;91;26;91;22
"63";"1";2020-04-17;46;16;46;12
"63";"2";2020-04-17;45;10;45;10
"64";"0";2020-04-17;112;19;112;20
"64";"1";2020-04-17;60;13;60;14
"64";"2";2020-04-17;52;6;52;6
"65";"0";2020-04-17;64;4;64;14
"65";"1";2020-04-17;35;3;35;5
"65";"2";2020-04-17;28;1;28;9
"66";"0";2020-04-17;230;15;230;24
"66";"1";2020-04-17;95;13;95;11
"66";"2";2020-04-17;135;2;135;13
"67";"0";2020-04-17;1255;212;1255;414
"67";"1";2020-04-17;697;145;697;242
"67";"2";2020-04-17;553;66;553;169
"68";"0";2020-04-17;1485;134;1485;628
"68";"1";2020-04-17;796;89;796;381
"68";"2";2020-04-17;688;45;688;242
"69";"0";2020-04-17;1300;235;1300;376
"69";"1";2020-04-17;642;178;642;207
"69";"2";2020-04-17;626;57;626;159
"70";"0";2020-04-17;130;17;130;58
"70";"1";2020-04-17;70;11;70;36
"70";"2";2020-04-17;59;6;59;22
"71";"0";2020-04-17;311;30;311;115
"71";"1";2020-04-17;146;26;146;58
"71";"2";2020-04-17;163;4;163;57
"72";"0";2020-04-17;174;15;174;35
"72";"1";2020-04-17;90;12;90;20
"72";"2";2020-04-17;84;3;84;15
"73";"0";2020-04-17;244;19;244;31
"73";"1";2020-04-17;118;16;118;21
"73";"2";2020-04-17;125;3;125;10
"74";"0";2020-04-17;481;58;481;103
"74";"1";2020-04-17;270;45;270;62
"74";"2";2020-04-17;204;12;204;41
"75";"0";2020-04-17;2792;697;2792;1132
"75";"1";2020-04-17;1664;515;1664;723
"75";"2";2020-04-17;1104;178;1104;399
"76";"0";2020-04-17;366;82;366;113
"76";"1";2020-04-17;176;59;176;76
"76";"2";2020-04-17;188;22;188;35
"77";"0";2020-04-17;1125;179;1125;325
"77";"1";2020-04-17;662;121;662;191
"77";"2";2020-04-17;450;56;450;134
"78";"0";2020-04-17;996;154;996;328
"78";"1";2020-04-17;567;115;567;197
"78";"2";2020-04-17;425;37;425;128
"79";"0";2020-04-17;30;6;30;12
"79";"1";2020-04-17;12;3;12;7
"79";"2";2020-04-17;18;3;18;5
"80";"0";2020-04-17;358;58;358;139
"80";"1";2020-04-17;185;42;185;88
"80";"2";2020-04-17;166;16;166;50
"81";"0";2020-04-17;56;15;56;15
"81";"1";2020-04-17;29;11;29;7
"81";"2";2020-04-17;27;4;27;8
"82";"0";2020-04-17;26;8;26;3
"82";"1";2020-04-17;15;6;15;3
"82";"2";2020-04-17;11;2;11;0
"83";"0";2020-04-17;440;43;440;80
"83";"1";2020-04-17;241;31;241;45
"83";"2";2020-04-17;198;12;198;34
"84";"0";2020-04-17;135;17;135;23
"84";"1";2020-04-17;66;13;66;14
"84";"2";2020-04-17;69;4;69;9
"85";"0";2020-04-17;101;15;101;24
"85";"1";2020-04-17;57;10;57;17
"85";"2";2020-04-17;44;5;44;7
"86";"0";2020-04-17;69;21;69;25
"86";"1";2020-04-17;33;15;33;12
"86";"2";2020-04-17;36;5;36;12
"87";"0";2020-04-17;67;11;67;16
"87";"1";2020-04-17;33;7;33;7
"87";"2";2020-04-17;33;4;33;9
"88";"0";2020-04-17;320;29;320;189
"88";"1";2020-04-17;169;20;169;110
"88";"2";2020-04-17;149;9;149;79
"89";"0";2020-04-17;109;19;109;33
"89";"1";2020-04-17;59;18;59;20
"89";"2";2020-04-17;49;1;49;13
"90";"0";2020-04-17;292;29;292;129
"90";"1";2020-04-17;171;25;171;77
"90";"2";2020-04-17;121;4;121;52
"91";"0";2020-04-17;788;187;788;297
"91";"1";2020-04-17;480;128;480;179
"91";"2";2020-04-17;304;54;304;116
"92";"0";2020-04-17;1939;393;1939;641
"92";"1";2020-04-17;1127;293;1127;371
"92";"2";2020-04-17;803;96;803;265
"93";"0";2020-04-17;1502;229;1502;654
"93";"1";2020-04-17;897;163;897;407
"93";"2";2020-04-17;591;61;591;242
"94";"0";2020-04-17;1478;334;1478;700
"94";"1";2020-04-17;836;239;836;400
"94";"2";2020-04-17;625;94;625;284
"95";"0";2020-04-17;1307;168;1307;433
"95";"1";2020-04-17;759;119;759;282
"95";"2";2020-04-17;542;48;542;149
"971";"0";2020-04-17;59;19;59;10
"971";"1";2020-04-17;27;14;27;4
"971";"2";2020-04-17;32;5;32;6
"972";"0";2020-04-17;59;17;59;6
"972";"1";2020-04-17;31;14;31;4
"972";"2";2020-04-17;28;3;28;2
"973";"0";2020-04-17;25;2;25;0
"973";"1";2020-04-17;13;1;13;0
"973";"2";2020-04-17;12;1;12;0
"974";"0";2020-04-17;86;3;86;0
"974";"1";2020-04-17;39;3;39;0
"974";"2";2020-04-17;47;0;47;0
"976";"0";2020-04-17;41;6;41;4
"976";"1";2020-04-17;24;5;24;4
"976";"2";2020-04-17;17;1;17;0
"01";"0";2020-04-18;181;25;181;60
"01";"1";2020-04-18;105;17;105;35
"01";"2";2020-04-18;70;7;70;24
"02";"0";2020-04-18;355;41;355;168
"02";"1";2020-04-18;158;27;158;99
"02";"2";2020-04-18;195;14;195;67
"03";"0";2020-04-18;90;17;90;22
"03";"1";2020-04-18;40;12;40;11
"03";"2";2020-04-18;49;5;49;11
"04";"0";2020-04-18;76;3;76;6
"04";"1";2020-04-18;33;1;33;5
"04";"2";2020-04-18;43;2;43;1
"05";"0";2020-04-18;85;9;85;6
"05";"1";2020-04-18;50;6;50;2
"05";"2";2020-04-18;35;3;35;4
"06";"0";2020-04-18;328;56;328;97
"06";"1";2020-04-18;157;38;157;53
"06";"2";2020-04-18;162;12;162;42
"07";"0";2020-04-18;223;23;223;49
"07";"1";2020-04-18;90;19;90;31
"07";"2";2020-04-18;110;2;110;13
"08";"0";2020-04-18;93;16;93;32
"08";"1";2020-04-18;47;10;47;16
"08";"2";2020-04-18;45;6;45;16
"09";"0";2020-04-18;19;2;19;2
"09";"1";2020-04-18;11;1;11;1
"09";"2";2020-04-18;7;1;7;1
"10";"0";2020-04-18;244;26;244;74
"10";"1";2020-04-18;135;19;135;48
"10";"2";2020-04-18;108;7;108;26
"11";"0";2020-04-18;126;8;126;42
"11";"1";2020-04-18;69;7;69;31
"11";"2";2020-04-18;57;1;57;11
"12";"0";2020-04-18;69;4;69;19
"12";"1";2020-04-18;37;3;37;10
"12";"2";2020-04-18;32;1;32;9
"13";"0";2020-04-18;1600;234;1600;247
"13";"1";2020-04-18;799;164;799;129
"13";"2";2020-04-18;768;67;768;115
"14";"0";2020-04-18;132;34;132;49
"14";"1";2020-04-18;78;25;78;36
"14";"2";2020-04-18;54;9;54;13
"15";"0";2020-04-18;20;7;20;0
"15";"1";2020-04-18;12;6;12;0
"15";"2";2020-04-18;8;1;8;0
"16";"0";2020-04-18;34;3;34;9
"16";"1";2020-04-18;20;2;20;6
"16";"2";2020-04-18;14;0;14;3
"17";"0";2020-04-18;71;19;71;28
"17";"1";2020-04-18;39;17;39;17
"17";"2";2020-04-18;32;2;32;11
"18";"0";2020-04-18;48;4;48;41
"18";"1";2020-04-18;26;4;26;23
"18";"2";2020-04-18;22;0;22;18
"19";"0";2020-04-18;47;11;47;20
"19";"1";2020-04-18;25;8;25;18
"19";"2";2020-04-18;22;2;22;2
"21";"0";2020-04-18;468;77;468;159
"21";"1";2020-04-18;208;46;208;96
"21";"2";2020-04-18;257;31;257;63
"22";"0";2020-04-18;85;7;85;23
"22";"1";2020-04-18;41;5;41;14
"22";"2";2020-04-18;44;2;44;9
"23";"0";2020-04-18;12;12;12;5
"23";"1";2020-04-18;7;7;7;3
"23";"2";2020-04-18;5;5;5;2
"24";"0";2020-04-18;39;6;39;5
"24";"1";2020-04-18;23;3;23;2
"24";"2";2020-04-18;16;3;16;3
"25";"0";2020-04-18;333;59;333;93
"25";"1";2020-04-18;173;44;173;56
"25";"2";2020-04-18;158;13;158;36
"26";"0";2020-04-18;286;50;286;100
"26";"1";2020-04-18;154;36;154;58
"26";"2";2020-04-18;132;12;132;42
"27";"0";2020-04-18;69;6;69;50
"27";"1";2020-04-18;33;6;33;28
"27";"2";2020-04-18;35;0;35;22
"28";"0";2020-04-18;231;23;231;62
"28";"1";2020-04-18;118;18;118;34
"28";"2";2020-04-18;101;4;101;27
"29";"0";2020-04-18;103;27;103;30
"29";"1";2020-04-18;58;19;58;19
"29";"2";2020-04-18;44;8;44;10
"2A";"0";2020-04-18;68;10;68;37
"2A";"1";2020-04-18;31;8;31;25
"2A";"2";2020-04-18;37;2;37;12
"2B";"0";2020-04-18;78;2;78;5
"2B";"1";2020-04-18;40;1;40;3
"2B";"2";2020-04-18;38;1;38;2
"30";"0";2020-04-18;136;36;136;31
"30";"1";2020-04-18;77;26;77;18
"30";"2";2020-04-18;59;10;59;13
"31";"0";2020-04-18;349;91;349;34
"31";"1";2020-04-18;183;79;183;22
"31";"2";2020-04-18;164;11;164;12
"32";"0";2020-04-18;23;3;23;11
"32";"1";2020-04-18;16;2;16;7
"32";"2";2020-04-18;7;1;7;4
"33";"0";2020-04-18;484;85;484;86
